,Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
53,53,0,0.060887752815077544,106,2019-04-16 02:00:00,5033.425361172518,0.0,107,2019-04-16 09:00:00,5071.03041637448,0.0,-2.2896873057344465,-0.007471066421694722,Short,Closed,53
54,54,0,0.05826660719438342,108,2019-04-17 09:00:00,5181.262461114207,0.0,109,2019-04-17 14:00:00,5187.283991740429,0.0,0.35085415970701206,0.001162174406607235,Long,Closed,54
55,55,0,0.05327398715344518,110,2019-05-06 12:00:00,5680.000861219399,0.0,111,2019-05-06 17:00:00,5762.826221278502,0.0,-4.412437167768132,-0.014581927376912749,Short,Closed,55
56,56,0,0.037437086984060126,112,2019-05-24 03:00:00,7847.069370052879,0.0,113,2019-05-24 09:00:00,7920.722105017762,0.0,2.7573438454942334,0.009386018077776491,Long,Closed,56
57,57,0,0.03839360018701661,114,2019-06-06 08:00:00,7795.208180784782,0.0,115,2019-06-06 13:00:00,7715.825636573292,0.0,-3.0477816642841162,-0.010183505349756823,Long,Closed,57
58,58,0,0.038411367590454056,116,2019-06-10 05:00:00,7632.910810806619,0.0,117,2019-06-10 12:00:00,7950.505822601362,0.0,-12.199258742942447,-0.04160863655646203,Short,Closed,58
59,59,0,0.0340344371817247,118,2019-06-11 07:00:00,7897.648608612538,0.0,119,2019-06-11 15:00:00,7761.469086606186,0.0,-4.634793387162517,-0.017243046475611312,Long,Closed,59
60,60,0,0.02875504784253937,120,2019-06-18 21:00:00,9025.282799039687,0.0,121,2019-06-19 02:00:00,9143.5561442185,0.0,-3.400955699113979,-0.013104669162433214,Short,Closed,60
61,61,0,0.023553396585166243,122,2019-06-22 23:00:00,10729.68505271836,0.0,123,2019-06-23 10:00:00,10596.410978352564,0.0,-3.139057128058539,-0.012421061169174897,Long,Closed,61
62,62,0,0.02171591724479031,124,2019-06-30 21:00:00,11348.468970778142,0.0,125,2019-07-01 03:00:00,11142.817199400317,0.0,4.465916848485364,0.018121543259039544,Short,Closed,62
63,63,0,0.02434140821746156,126,2019-07-14 22:00:00,10491.35055950724,0.0,127,2019-07-15 05:00:00,10172.130548953002,0.0,7.7702645880831085,0.030426970173536145,Short,Closed,63
64,64,0,0.025791511234440373,128,2019-07-20 02:00:00,10504.02876493189,0.0,129,2019-07-20 07:00:00,10560.652414768962,0.0,1.460409500907815,0.005390660203265104,Long,Closed,64
65,65,0,0.027648143594239123,130,2019-07-25 22:00:00,9904.3031213314,0.0,131,2019-07-26 08:00:00,9791.92799148791,0.0,-3.106963726334129,-0.011346091538885137,Long,Closed,65
66,66,0,0.025810626305960892,132,2019-08-02 04:00:00,10368.662281742718,0.0,133,2019-08-02 11:00:00,10465.377464899591,0.0,2.4962794505746047,0.009327643289835964,Long,Closed,66
67,67,0,0.02305070892372145,134,2019-08-06 05:00:00,11826.717661918648,0.0,135,2019-08-06 18:00:00,11734.083256687209,0.0,-2.1352887113120005,-0.00783263859673578,Long,Closed,67
68,68,0,0.02556515661333297,136,2019-09-08 00:00:00,10496.460201043685,0.0,137,2019-09-08 08:00:00,10503.74091569701,0.0,0.18613261036921358,0.0006936352364390383,Long,Closed,68
